["2025-05-22 21:25:27"] Target: geometry_project - [File Name: UNKNOWN, line number: 0], Message: Lets start

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:27"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:28"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 64], Message: Move next

["2025-05-22 21:25:28"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:29"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 64], Message: Move next

["2025-05-22 21:25:29"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:30"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 64], Message: Move next

["2025-05-22 21:25:30"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:30"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 64], Message: Move next

["2025-05-22 21:25:30"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:30"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 64], Message: Move next

["2025-05-22 21:25:30"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:31"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 64], Message: Move next

["2025-05-22 21:25:31"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:31"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 64], Message: Move next

["2025-05-22 21:25:31"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:32"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 64], Message: Move next

["2025-05-22 21:25:32"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

["2025-05-22 21:25:32"] Target: RightTurnDebug - [File Name: src/scenarios/right_turn_debug.rs, line number: 39], Message: Increment next

